"Install_Dates","campaign_id","Country","installs","spends"
"2020-05-17","22083","DE","5","9.14"
"2020-05-15","794235","AZ","3","0.02"
"2020-05-15","794235","MA","37","0.33"
"2020-04-03","90619","AT","6","2.26"
"2020-05-06","794235","EG","26","0.13"
"2020-04-14","787687","DK","31","15.5"
"2020-05-18","794235","CD","0","0.01"
"2020-03-20","790575","SE","1","0.08"
"2020-04-01","93355","LT","4","0.08"
"2020-03-21","789083","PH","14","0.32"
"2020-04-18","790424","RU","170","27.91"
"2020-04-15","161569","US","163","117.33"
"2020-04-28","19115","JP","1","1.34"
"2020-05-03","19115","UA","131","25.45"
"2020-03-21","22083","UNKNOWN","0","0.47"
"2020-04-01","91872","FR","40","28.4"
"2020-04-18","793773","UY","0","0.01"
"2020-05-12","94157","QA","2","7.89"
"2020-04-22","160483","KR","54","56.78"
"2020-05-13","794235","PE","6","0.04"
"2020-03-24","158583","UK","9","3.33"
"2020-04-18","788894","LV","1","0.08"
"2020-04-23","787847","FR","1","0.11"
"2020-04-23","791300","UA","1","0.04"
"2020-04-30","787112","CL","229","25.21"
"2020-05-14","786429","AT","1","1.05"
"2020-04-22","93399","NL","52","48.02"
"2020-05-04","94033","UN","0","0.27"
"2020-04-26","98067","RU","1","0.14"
"2020-05-05","19115","UK","6","7.14"
"2020-04-09","93295","KZ","17","2.45"
"2020-04-23","94342","SE","7","6.52"
"2020-05-05","22083","CH","1","1.13"
"2020-04-15","790391","RU","1","0.21"
"2020-04-03","787598","DE","20","2.47"
"2020-05-05","794235","KH","4","0.02"
"2020-04-26","95659","US","35","52.99"
"2020-05-17","794235","MK","6","0.06"
"2020-04-20","788248","IN","0","8.92"
"2020-04-24","19115","CZ","9","2.57"
"2020-04-24","786995","CH","18","18.89"
"2020-04-26","794235","VE","28","0.14"
"2020-04-20","19115","RO","10","1.43"
"2020-04-13","786843","BY","141","10.08"
"2020-04-04","788127","IN","248","7.13"
"2020-04-16","90375","CH","4","8.53"
"2020-05-03","792410","UZ","612","15.02"
"2020-05-01","794235","JO","10","0.05"
"2020-04-03","160483","JP","10","6.15"
"2020-04-15","90619","DE","40","29.98"
"2020-04-26","93101","KR","7","0.39"
"2020-05-11","791631","US","69","65.94"
"2020-05-07","794235","YE","5","0.02"
"2020-05-10","787935","GE","7","0.79"
"2020-05-12","787274","DE","224","99.25"
"2020-04-05","93027","KR","2","1.16"
"2020-04-07","95040","UA","112","31.37"
"2020-04-06","94248","QA","0","0.01"
"2020-05-17","794235","CL","0","0.01"
"2020-04-19","98067","DE","0","0.28"
"2020-04-12","791455","UA","53","10.4"
"2020-04-19","22083","FR","7","3.95"
"2020-04-20","792410","PH","6","0.09"
"2020-04-25","794235","SV","1","0.01"
"2020-04-27","19115","FI","6","1.43"
"2020-04-08","19115","SE","7","4.02"
"2020-04-24","19115","NO","1","0.26"
"2020-04-29","90619","DK","3","2.18"
"2020-04-17","788298","IT","14","1.64"
"2020-03-25","161666","IT","12","0.96"
"2020-04-14","787088","CH","0","0.25"
"2020-04-27","789292","PL","451","96.98"
"2020-03-25","789602","RU","0","195.4749"
"2020-04-06","89985","BE","12","15.45"
"2020-04-03","786627","BR","4","0.19"
"2020-05-09","790778","UA","354","53.43"
"2020-04-22","22083","US","33","10.76"
"2020-04-26","19115","ES","54","9.53"
"2020-04-21","791542","UK","35","14.75"
"2020-04-17","19115","KR","1","1.13"
"2020-04-12","90039","BE","0","0.02"
"2020-05-11","794235","RS","3","0.02"
"2020-04-17","790592","SK","87","15.5"
"2020-05-10","22083","RU","34","88.02"
"2020-04-24","22083","TW","0","2.84"
"2020-04-13","790678","TW","38","24.5"
"2020-05-11","159854","UK","16","4.87"
"2020-05-01","22083","CA","3","5.03"
"2020-03-25","791401","UA","79","3.18"
"2020-04-29","92551","IE","15","15.19"
"2020-04-28","792410","TR","95","2.35"
"2020-04-14","803393","UA","5","1.05"
"2020-04-28","794235","EC","3","0.02"
"2020-05-07","794235","KG","9","0.05"
"2020-03-27","92708","JP","1","5.32"
"2020-04-08","787262","DE","42","23.04"
"2020-03-25","788001","GE","1","0.02"
"2020-05-15","90619","AT","5","6.75"
"2020-04-19","793773","KH","0","0.02"
"2020-04-25","794235","LA","3","0.02"
"2020-03-23","19115","JP","3","2.37"
"2020-04-15","19115","UA","32","5.2"
"2020-05-03","161569","US","61","62.63"
"2020-04-22","794235","BD","36","0.18"
"2020-03-24","791300","UA","344","14.77"
"2020-03-24","787847","FR","115","12.28"
"2020-04-14","790709","TW","2","0.8"
"2020-04-30","19115","IE","2","0.58"
"2020-05-13","794235","MN","10","0.1"
"2020-03-21","96175","RO","1","0.02"
"2020-03-29","788894","LV","7","0.42"
"2020-03-25","160483","KR","22","12.92"
"2020-04-06","94157","QA","3","1.18"
"2020-04-14","94033","UN","0","0.11"
"2020-04-08","786429","AT","67","27.5"
"2020-04-17","22083","CH","1","0.35"
"2020-05-06","794235","UY","1","0.01"
"2020-04-17","19115","UK","6","3.63"
"2020-04-25","22083","IT","9","5.41"
"2020-05-14","794235","BO","14","0.1"
"2020-04-03","92356","HK","0","7.57"
"2020-03-23","158519","UA","546","44.77"
"2020-03-21","95659","US","0","0.39"
"2020-04-18","793773","EG","0","0.06"
"2020-04-17","793773","PK","0","0.32"
"2020-05-06","90375","CH","6","11.55"
"2020-05-18","788127","IN","3","0.07"
"2020-05-13","794235","CI","3","0.02"
"2020-03-27","19115","CZ","30","13.18"
"2020-04-01","19115","RO","13","1.19"
"2020-04-22","794235","MM","16","0.08"
"2020-05-15","160483","JP","2","1.04"
"2020-04-21","788709","KZ","9","2.01"
"2020-04-23","791179","UA","57","14.73"
